code,name,date,bucket,start_time,end_time,bars,volume_lot,return,partition
000002,万科A,2026-05-14,22,14:38,14:46,5,61685.009999999995,0.0,equal_time
000002,万科A,2026-05-14,23,14:48,14:56,5,60856.0,-0.0025807056598701967,equal_time
000002,万科A,2026-05-15,0,09:30,09:38,5,93447.0,-0.007782133222500058,equal_time
000002,万科A,2026-05-15,1,09:40,09:48,5,105688.8,0.0026007792810376893,equal_time
000002,万科A,2026-05-15,2,09:50,09:58,5,102927.51000000001,0.0025940327705609037,equal_time
000002,万科A,2026-05-15,3,10:00,10:08,5,69362.0,-0.005194812051598419,equal_time
000002,万科A,2026-05-15,4,10:10,10:18,5,38404.0,-0.0026075609754292396,equal_time
000002,万科A,2026-05-15,5,10:20,10:28,5,48529.009999999995,-0.0026075609754292396,equal_time
000002,万科A,2026-05-15,6,10:30,10:38,5,16701.21,0.0,equal_time
000002,万科A,2026-05-15,7,10:40,10:48,5,27784.0,0.005208340256466745,equal_time
000002,万科A,2026-05-15,8,10:50,10:58,5,34449.0,0.0026007792810376893,equal_time
000002,万科A,2026-05-15,9,11:00,11:08,5,16285.0,0.005194812051598424,equal_time
000002,万科A,2026-05-15,10,11:10,11:18,5,22807.0,-0.002600779281037636,equal_time
000002,万科A,2026-05-15,11,11:20,11:28,5,7828.0,0.0,equal_time
000002,万科A,2026-05-15,12,11:30,13:06,5,669814.53,-0.005221939105117042,equal_time
000002,万科A,2026-05-15,13,13:08,13:16,5,15123.380000000001,-0.002621231022660009,equal_time
000002,万科A,2026-05-15,14,13:18,13:26,5,63141.11,0.0,equal_time
000002,万科A,2026-05-15,15,13:28,13:36,5,74797.43000000001,-0.005249350958782499,equal_time
000002,万科A,2026-05-15,16,13:38,13:46,5,38259.490000000005,-0.0026420069665181274,equal_time
000002,万科A,2026-05-15,17,13:48,13:56,5,24343.0,0.002642006966518061,equal_time
000002,万科A,2026-05-15,18,13:58,14:06,5,79221.0,-0.002649005662013365,equal_time
000002,万科A,2026-05-15,19,14:08,14:16,5,37609.0,0.0026490056620134053,equal_time
000002,万科A,2026-05-15,20,14:18,14:26,5,43610.0,-0.007947054163735354,equal_time
000002,万科A,2026-05-15,21,14:28,14:36,5,57025.12,0.005305047197217218,equal_time
000002,万科A,2026-05-15,22,14:38,14:46,5,51950.58,0.0,equal_time
000002,万科A,2026-05-15,23,14:48,14:56,5,37560.55,0.0,equal_time
000002,万科A,2026-05-18,0,09:30,09:38,5,175906.0,-0.021334122127624037,equal_time
000002,万科A,2026-05-18,1,09:40,09:48,5,149973.36000000002,0.0,equal_time
